county,2015,2016,2017,2018,2019,2020
Anderson,20758,21310,21884,22434,20420,23503
Bedford,10764,10448,10816,11162,11505,11848
Benton,5296,5431,5591,5694,5817,5945
Bledsoe,3424,3520,3623,3736,3821,3904
Blount,34269,35539,36791,38100,39391,40723
Bradley,23486,24244,25003,25777,26578,27427
Campbell,11322,11662,11975,12242,12482,12730
Cannon,3643,3764,3937,4086,4208,4375
Carroll,7895,8102,8232,8395,8575,8701
Carter,16230,16780,17254,17803,18305,18742
Cheatham,8365,8691,9084,9528,9891,10322
Chester,4082,4217,4359,4502,4631,4745
Claiborne,8929,9259,9558,9864,10200,10472
Clay,2467,2533,2578,2637,2688,2740
Cocke,10282,10651,10964,11310,11633,11994
Coffee,13412,13872,14288,14696,15119,15560
Crockett,3633,3719,3824,3890,3986,4104
Cumberland,23669,24558,25461,26402,27296,28266
Davidson,110204,113579,116847,120003,122948,126367
Decatur,3733,3818,3921,4033,4122,4186
DeKalb,5046,5217,5371,5530,5700,5849
Dickson,11452,11918,12410,12973,13486,13993
Dyer,9108,9375,9616,9849,10089,10337
Fayette,11804,12573,13387,14109,14786,15549
Fentress,5323,5512,5677,5862,6055,6232
Franklin,11469,11814,12143,12475,12778,13096
Gibson,12337,12593,12873,13109,13438,13748
Giles,8119,8381,8683,8883,9174,9466
Grainger,6457,6698,6921,7169,7389,7647
Greene,20125,20784,21485,22185,22810,23465
Grundy,4100,4245,4428,4577,4727,4873
Hamblen,15759,16149,16559,16903,17268,17730
Hamilton,82317,84859,87384,89940,92299,94790
Hancock,1953,2027,2094,2147,2194,2266
Hardeman,6234,5978,6109,6253,6355,6859
Hardin,7773,7987,8158,8373,8582,8789
Hawkins,15920,16430,16898,17403,17888,18395
Haywood,4389,4497,4635,4798,4929,5090
Henderson,6921,5592,5774,5925,6138,7988
Henry,10178,10449,10736,11046,11339,11643
Hickman,6014,6256,6485,6715,6965,7214
Houston,2449,2524,2585,2667,2737,2797
Humphreys,5166,5302,5435,5550,5681,5814
Jackson,3604,3749,3918,4063,4231,4367
Jefferson,14579,15149,15772,16357,16970,17571
Johnson,5234,5339,5482,5599,5734,5807
Knox,95482,98523,101623,104817,107769,111101
Lake,1688,1742,1784,1819,1851,1889
Lauderdale,5578,5692,5837,5983,6107,6220
Lawrence,10662,10967,11236,11518,11841,12149
Lewis,3454,3580,3713,3862,3987,4107
Lincoln,8954,9232,9531,9864,10142,10459
Loudon,18473,19296,20095,20885,21699,22496
Macon,5385,5564,5735,5914,6071,6253
Madison,22040,22803,23597,24400,25162,26032
Marion,8035,8366,8709,8957,9240,9531
Marshall,7451,7765,8095,8397,8685,8998
Maury,19551,20447,21451,22444,23386,24305
McMinn,14506,14958,15448,15920,16392,16881
McNairy,7331,7546,7754,7969,8144,8349
Meigs,3525,3679,3819,3943,4075,4211
Monroe,13430,13996,14581,15161,15723,16269
Montgomery,25772,27064,28411,29821,31233,32655
Moore,1908,1978,2058,2134,2218,2278
Morgan,5322,5476,5645,5831,6022,6169
Obion,8320,8491,8646,8821,8981,9139
Overton,6346,6544,6766,6993,7208,7395
Perry,2445,2536,2618,2685,2751,2831
Pickett,1903,1956,2001,2058,2113,2177
Polk,4782,4904,5068,5200,5347,5471
Putnam,17662,18289,18916,19541,20194,20818
Rhea,8565,8855,9195,9463,9757,10064
Roane,16743,17317,17781,18241,18757,19254
Robertson,14620,15326,16056,16796,17559,18355
Rutherford,43980,46606,49420,52255,55029,58183
Scott,5059,5213,5369,5490,5629,5740
Sequatchie,4132,4352,4572,4800,4984,5177
Sevier,25333,26464,27622,28833,29933,31116
Shelby,167591,173288,178830,184452,189528,194873
Smith,4612,4775,4953,5153,5341,5538
Stewart,3801,3964,4124,4235,4368,4494
Sullivan,45056,46112,47183,48198,49113,49982
Sumner,37138,38705,40391,42071,43766,45525
Tipton,12607,13143,13741,14397,15013,15679
Trousdale,1877,1961,2006,2089,2167,2233
Unicoi,5792,5943,6116,6259,6436,6629
Union,4771,4978,5180,5376,5577,5786
Van Buren,1752,1833,1911,1978,2039,2097
Warren,9693,9915,10194,10464,10729,11019
Washington,31781,32952,34112,35258,36349,37465
Wayne,4263,4359,4433,4539,4644,4748
Weakley,8399,8595,8773,8945,9167,9332
White,7594,7843,8120,8380,8582,8847
Williamson,38138,40522,43011,45618,48631,51877
Wilson,26951,28364,29746,31218,32701,34241